"Easting","Northing","City","Administrative.unit","X6.29.18","X7.6.18","X7.13.18","X7.20.18","X7.27.18","X8.3.18","X8.10.18","X8.17.18","X8.24.18","X8.31.18","X9.7.18","X9.14.18","X9.21.18","X9.28.18","X10.5.18","X10.12.18","X10.19.18","X10.26.18","X11.2.18","X11.9.18","X11.16.18","X11.23.18","X11.30.18","X12.7.18","X12.14.18","X12.21.18","X12.28.18","X1.4.19","X1.11.19","X1.18.19","X1.25.19","X2.1.19","X2.8.19","X2.15.19","X2.22.19","X3.1.19","X3.8.19","X3.15.19","X3.22.19","X3.29.19","X4.5.19","X4.12.19","X4.19.19","X4.26.19","X5.3.19","X5.10.19"
370500,355500,"Crewe M.B.","Crewe M.B.",1.2,3.7,6.1,2.4,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,3.7,1.2,12.2,46.4,35.4,15.9,7.3,7.3,3.7,8.5,2.4,2.4,NA,NA,NA,NA,3.7,1.2,13.4,11,12.2,7.3,4.9,3.7,NA,NA,NA,1.2,NA,1.2,NA
533500,165500,"Croydon","Croydon",0.6,3.4,3.4,0.9,0.3,0.6,NA,NA,0.3,NA,0.6,NA,NA,NA,0.3,1.5,4,18,36.5,33.4,16.7,8.7,7.1,5.9,3.1,1.5,1.2,1.2,1.5,0.6,0.3,0.3,3.1,2.8,2.8,7.7,6.8,4,1.5,1.9,1.5,0.9,1.2,0.3,0.6,0.3
428500,514500,"Darlington","Darlington",NA,6.1,15.6,5.2,3.5,NA,0.9,0.9,NA,0.9,NA,0.9,0.9,NA,NA,0.9,1.7,NA,4.3,8.7,10.4,16.4,33.7,23.4,6.1,2.6,0.9,4.3,NA,NA,NA,1.7,NA,2.6,6.9,13,19,13.8,13.8,5.2,1.7,1.7,1.7,0.9,0.9,0.9
552500,173500,"Dartford U.D.","Dartford U.D.",2.4,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,92.6,76,21.4,11.9,9.5,2.4,7.1,NA,NA,2.4,NA,NA,2.4,NA,NA,2.4,7.1,9.5,7.1,NA,NA,2.4,NA,NA,4.8,NA,4.8,NA
369500,422500,"Darwen M.B.","Darwen M.B.",NA,1.6,7.9,6.3,14.3,3.2,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,3.2,6.3,6.3,14.3,46,98.4,52.4,9.5,3.2,NA,1.6,3.2,NA,1.6,3.2,NA,1.6,3.2,15.9,15.9,4.8,7.9,1.6,1.6,1.6,NA,NA,NA,NA
435500,335500,"Derby","Derby",0.4,0.4,5.3,4,1.8,1.3,0.9,NA,NA,0.4,0.4,NA,0.9,0.4,NA,0.9,0.4,3.1,8.8,16.8,27.8,24.3,30.9,18.5,10.1,5.7,2.6,1.8,NA,0.9,0.4,0.4,0.4,5.7,12.8,9.3,7.1,4.9,4,3.5,1.8,NA,NA,NA,0.9,NA
424500,422500,"Dewsbury","Dewsbury",1.1,7.8,8.9,8.9,1.1,NA,2.2,NA,1.1,NA,1.1,NA,1.1,NA,NA,NA,2.2,2.2,11.1,13.3,46.5,37.7,29.9,12.2,8.9,4.4,2.2,1.1,2.2,NA,3.3,2.2,6.6,8.9,10,17.7,8.9,8.9,4.4,10,3.3,1.1,NA,NA,1.1,5.5
457500,402500,"Doncaster M.B.","Doncaster M.B.",1.1,2.2,2.2,5.5,4.4,1.1,1.1,3.3,1.1,NA,NA,NA,NA,NA,NA,NA,2.2,5.5,16.5,26.4,42.9,33,25.3,14.3,3.3,4.4,2.2,1.1,1.1,2.2,1.1,1.1,2.2,7.7,9.9,19.8,18.7,15.4,5.5,2.2,NA,2.2,1.1,1.1,1.1,1.1
631500,141500,"Dover M.B.","Dover M.B.",NA,1.5,3,4.5,NA,1.5,NA,NA,NA,1.5,NA,NA,NA,NA,1.5,1.5,1.5,18.1,27.1,13.6,13.6,18.1,7.5,6,6,4.5,4.5,1.5,NA,1.5,NA,NA,NA,4.5,6,12.1,9,7.5,3,1.5,NA,NA,NA,NA,NA,NA
393500,290500,"Dudley","Dudley",1,3,9.1,5,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,5,14.1,15.1,18.1,24.2,17.1,11.1,5,1,NA,NA,NA,NA,1,NA,1,7,4,2,5,4,1,NA,2,1,1,NA,1
517500,180500,"Ealing M.B.","Ealing M.B.",NA,0.8,3.2,1.6,NA,0.8,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,2.4,8.1,25.9,29.9,12.1,13.7,12.9,8.9,5.7,NA,1.6,1.6,0.8,NA,0.8,NA,NA,6.5,9.7,12.9,2.4,6.5,5.7,2.4,NA,2.4,2.4,0.8,NA,NA
524500,183500,"East Ham","East Ham",0.4,4.9,4.1,2,1.6,0.8,0.4,NA,0.4,NA,NA,NA,0.4,0.4,NA,2,8.1,32.1,53.7,46.8,12.2,9.4,6.9,6.5,2.8,2.8,1.2,1.2,NA,NA,0.8,2,2.8,2,5.3,6.5,4.5,1.6,1.2,1.6,0.4,NA,NA,NA,NA,NA
559500,100500,"Eastbourne","Eastbourne",NA,NA,1,1,1,NA,3.1,NA,1,1,NA,NA,NA,NA,1,2.1,2.1,4.2,18.9,14.7,4.2,13.6,6.3,11.5,7.3,1,2.1,NA,1,2.1,3.1,7.3,6.3,4.2,10.5,12.6,9.4,3.1,4.2,1,1,1,1,1,2.1,NA
318500,205500,"Ebbw Vale U.D.","Ebbw Vale U.D.",NA,4.4,10.2,2.9,4.4,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,2.9,1.5,11.7,11.7,4.4,5.8,2.9,NA,NA,1.5,NA,NA,1.5,1.5,NA,NA,2.9,7.3,7.3,10.2,5.8,4.4,1.5,1.5,1.5,NA,NA
377500,398500,"Eccles M.B.","Eccles M.B.",NA,5.3,2.6,1.3,1.3,1.3,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,3.9,14.5,14.5,25,18.4,3.9,6.6,10.5,9.2,7.9,NA,NA,NA,NA,1.3,2.6,2.6,10.5,7.9,3.9,2.6,3.9,6.6,NA,NA,NA,NA,1.3
533500,192500,"Edmonton U.D.","Edmonton U.D.",0.8,2.5,3.3,0.8,NA,0.8,NA,NA,NA,NA,0.8,NA,NA,3.3,4.9,9.8,23.7,33.5,31.9,15.5,9,8.2,12.3,7.4,5.7,0.8,3.3,NA,0.8,3.3,0.8,NA,4.1,5.7,8.2,7.4,2.5,4.9,2.8,0.8,4.1,NA,0.8,NA,NA,1.6
554500,280500,"Ely, Isle of","Ely, Isle of",NA,1.6,0.8,NA,NA,NA,NA,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,3.3,18.8,37.6,40.9,18.8,18,8.2,10.6,4.1,1.6,0.8,0.8,0.8,NA,NA,NA,NA,3.3,2.5,8.2,4.1,3.3,3.3,1.6,1.6,0.8,NA,NA,NA
533500,196500,"Enfield U.D.","Enfield U.D.",NA,2.9,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.8,12.4,26.8,38.3,16.3,12.4,8.6,7.7,3.8,1.9,1.9,NA,1,NA,NA,NA,1,1,1,10.5,10.5,5.7,4.8,3.8,5.7,1.9,1,1,NA,NA,NA
550500,177500,"Erith U.D.","Erith U.D.",NA,1.6,1.6,3.2,1.6,NA,NA,1.6,NA,NA,1.6,NA,NA,NA,1.6,1.6,6.4,11.1,23.9,23.9,11.1,8,3.2,11.1,NA,3.2,1.6,NA,NA,NA,1.6,NA,1.6,NA,3.2,3.2,8,1.6,1.6,NA,NA,3.2,3.2,NA,NA,NA
455500,519500,"Eston U.D.","Eston U.D.",5.5,20.3,36.9,5.5,NA,1.8,1.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,9.2,22.1,11.1,16.6,14.8,11.1,12.9,7.4,3.7,3.7,1.8,NA,NA,NA,NA,3.7,1.8,5.5,9.2,5.5,5.5,3.7,NA,9.2,1.8,3.7,NA,1.8
292500,92500,"Exeter","Exeter",NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,8.3,27,20.7,30.1,18.7,10.4,9.3,2.1,4.1,NA,2.1,1,NA,NA,1,1,NA,NA,1,3.1,6.2,18.7,13.5,11.4,4.1,2.1,7.3,4.1,2.1,1,1,1
373500,405500,"Farnworth U.D.","Farnworth U.D.",NA,NA,4.4,6.5,2.2,2.2,2.2,NA,NA,2.2,NA,NA,NA,NA,NA,6.5,4.4,13.1,4.4,13.1,2.2,2.2,6.5,6.5,2.2,2.2,NA,NA,NA,NA,NA,2.2,NA,19.6,47.9,30.5,15.3,2.2,10.9,NA,4.4,2.2,2.2,2.2,NA,NA
427500,561500,"Felling U.D.","Felling U.D.",NA,4.3,2.1,6.4,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,17.1,36.4,36.4,23.6,19.3,8.6,8.6,6.4,2.1,NA,NA,NA,2.1,NA,NA,NA,12.8,15,15,4.3,6.4,NA,6.4,NA,NA,NA,NA,NA
525500,190500,"Finchley U.D.","Finchley U.D.",1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,6,13.3,29,35,10.9,8.4,12.1,8.4,3.6,2.4,6,1.2,1.2,NA,1.2,NA,4.8,7.2,9.7,4.8,7.2,2.4,3.6,NA,2.4,NA,NA,NA,1.2,NA
621500,136500,"Folkestone M.B.","Folkestone M.B.",NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,1.8,12.7,18.2,16.4,21.8,12.7,7.3,5.5,1.8,3.6,3.6,1.8,1.8,NA,1.8,NA,7.3,5.5,9.1,12.7,14.5,NA,1.8,NA,3.6,NA,NA,NA,NA
481500,389500,"Gainsborough U.D.","Gainsborough U.D.",NA,NA,5.3,10.7,13.4,2.7,NA,2.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4,42.8,64.2,56.1,56.1,32.1,8,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,5.3,8,NA,8,2.7,10.7,NA,5.3,2.7,NA
424500,560500,"Gateshead","Gateshead",0.4,4,9.3,7.1,1.3,1.3,0.4,NA,NA,NA,NA,NA,NA,0.4,NA,NA,0.9,2.7,8,20.9,21.4,18.7,11.6,4,2.2,NA,0.9,0.9,0.9,NA,0.4,NA,2.7,5.3,13.8,16,14.2,8.9,1.8,1.8,0.9,1.8,NA,0.9,0.4,0.4
313500,196500,"Gelligaer U.D.","Gelligaer U.D.",1.4,1.4,7,8.4,2.8,2.8,NA,NA,NA,NA,NA,1.4,NA,NA,NA,4.2,12.6,22.5,18.3,12.6,11.2,5.6,5.6,8.4,8.4,4.2,1.4,4.2,2.8,NA,1.4,NA,1.4,NA,1.4,1.4,1.4,5.6,2.8,1.4,NA,2.8,1.4,NA,1.4,NA
577500,167500,"Gillingham M.B.","Gillingham M.B.",NA,4.8,1.2,1.2,1.2,NA,1.2,NA,NA,NA,NA,NA,1.2,NA,NA,NA,2.4,18.1,30.2,26.6,16.9,12.1,4.8,4.8,2.4,2.4,NA,1.2,NA,NA,NA,NA,NA,3.6,4.8,2.4,4.8,3.6,2.4,1.8,1.8,NA,1.8,1.8,1.8,NA
403500,393500,"Glossop M.B.","Glossop M.B.",NA,5.6,5.6,8.5,2.8,2.8,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,5.6,11.3,14.1,8.5,11.3,NA,5.6,2.8,5.6,NA,NA,2.8,NA,NA,5.6,8.5,8.5,2.8,14.1,11.3,8.5,16.9,14.1,NA,NA,NA
383500,218500,"Gloucester","Gloucester",NA,NA,NA,3.3,1.1,5.5,2.2,1.1,1.1,2.2,NA,NA,NA,1.1,3.3,20.9,32,26.5,24.3,15.4,8.8,4.4,11,7.7,4.4,2.2,4.4,NA,NA,NA,NA,1.1,1.1,4.4,8.8,13.2,9.9,7.7,8.8,2.2,NA,1.1,2.2,1.1,1.1,1.1
474500,423500,"Goole U.D.","Goole U.D.",NA,NA,6.3,6.3,3.2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,6.3,28.5,12.7,34.8,28.5,12.7,22.2,22.2,9.5,6.3,6.3,NA,6.3,NA,NA,NA,6.3,NA,3.2,3.2,NA,NA,6.3,NA,NA,NA,NA,NA,NA
459500,100500,"Gosport and Alverstoke U.D.","Gosport and Alverstoke U.D.",NA,NA,1.9,3.7,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,5.6,11.2,24.3,18.7,9.3,1.9,NA,3.7,3.7,NA,3.7,NA,NA,NA,NA,NA,1.9,NA,NA,1.9,7.5,15,11.2,3.7,3.7,1.9,1.9,NA,3.7,NA,NA,NA
491500,336500,"Grantham M.B.","Grantham M.B.",NA,2.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,33.2,61.2,30.6,48.5,10.2,7.7,5.1,NA,NA,NA,2.6,5.1,NA,NA,2.6,7.7,7.7,2.6,5.1,NA,2.6,NA,NA,NA,NA,NA,NA
565500,174500,"Gravesend M.B.","Gravesend M.B.",1.9,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,7.5,28.5,26.3,15,16.9,3.8,15,13.1,5.6,1.9,NA,1.9,NA,NA,NA,1.9,5.6,3.8,16.9,1.9,NA,1.9,1.9,NA,NA,NA,NA,NA,NA
652500,307500,"Great Yarmouth","Great Yarmouth",1.2,1.2,4.6,4.6,NA,NA,NA,1.2,NA,NA,NA,1.2,1.2,NA,1.2,5.8,18.5,30,32.3,30,20.8,16.1,8.1,5.8,3.5,1.2,NA,3.5,NA,NA,NA,1.2,1.2,1.2,9.2,15,17.3,12.7,8.1,6.9,4.6,2.3,2.3,1.2,1.2,1.2
527500,409500,"Grimsby","Grimsby",NA,6.1,6.9,3.8,NA,1.5,NA,NA,NA,NA,NA,NA,0.8,NA,1.5,NA,NA,1.5,4.6,2.3,22.2,21.5,49.1,25.3,14.6,1.5,0.8,0.8,NA,0.8,NA,NA,0.8,2.3,3.1,4.6,2.3,7.7,4.6,6.9,1.5,3.8,3.1,1.5,NA,NA
499500,149500,"Guildford M.B.","Guildford M.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,2.3,NA,NA,6.9,4.6,18.3,18.3,36.6,45.8,16,6.9,NA,NA,NA,NA,NA,NA,NA,6.9,4.6,18.3,2.3,16,4.6,2.3,NA,2.3,6.9,NA,NA,NA,2.3
409500,425500,"Halifax","Halifax",NA,3.9,2.2,6.7,2.2,1.1,NA,NA,0.6,NA,NA,NA,NA,0.6,0.6,NA,1.7,2.8,12.3,13.4,21.7,20.6,27.3,15.6,4.5,6.1,2.2,2.2,3.9,2.2,NA,NA,2.2,3.9,8.4,11.7,9.5,5.6,2.2,1.7,1.1,1.7,1.1,0.6,NA,1.1
430500,455500,"Harrogate M.B.","Harrogate M.B.",NA,NA,1.6,3.1,1.6,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,9.4,26.6,28.2,23.5,12.5,7.8,4.7,12.5,NA,NA,4.7,NA,1.6,NA,1.6,4.7,3.1,4.7,3.1,4.7,4.7,NA,NA,NA,1.6,NA,NA,1.6
450500,532500,"Hartlepool M.B.","Hartlepool M.B.",5.7,17.1,17.1,8.6,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25.7,60,48.6,31.4,14.3,2.9,NA,2.9,NA,NA,2.9,5.7,8.6,2.9,14.3,25.7,28.6,8.6,5.7,NA,2.9,NA,2.9,NA,NA,2.9
581500,110500,"Hastings","Hastings",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,3,7,30.1,34.1,14,8,13,15,6,4,2,4,2,3,1,1,4,7,5,8,3,4,3,1,2,1,NA,NA,1,1
431500,564500,"Hebburn U.D.","Hebburn U.D.",NA,9.6,14.4,12,NA,2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,7.2,21.6,81.5,67.1,33.6,60,28.8,4.8,4.8,7.2,NA,NA,2.4,14.4,2.4,24,12,19.2,24,50.4,26.4,2.4,2.4,4.8,NA,2.4,NA,2.4,NA
523500,189500,"Hendon U.D.","Hendon U.D.",1,4.2,2.1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3.1,6.3,13.6,32.5,14.7,14.7,5.2,9.4,6.3,5.2,4.2,NA,2.1,1,NA,NA,NA,NA,2.1,6.3,11.5,6.3,1,NA,1,NA,NA,1,NA,NA,1
351500,240500,"Hereford M.B.","Hereford M.B.",NA,NA,4.3,6.5,6.5,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,15.1,21.6,17.2,8.6,8.6,NA,4.3,4.3,NA,2.2,NA,NA,NA,NA,NA,NA,2.2,2.2,4.3,NA,2.2,2.2,NA,NA,2.2,NA
512500,177500,"Heston and Isleworth U.D.","Heston and Isleworth U.D.",4.1,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,9.5,19,39.3,24.4,12.2,29.8,12.2,6.8,1.4,NA,1.4,NA,1.4,NA,NA,NA,5.4,6.8,5.4,9.5,1.4,2.7,NA,NA,1.4,4.1,1.4,NA,NA
385500,410500,"Heywood M.B.","Heywood M.B.",4.8,21.4,33.3,4.8,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,9.5,28.5,59.4,23.8,23.8,4.8,4.8,2.4,NA,NA,2.4,NA,2.4,NA,2.4,11.9,NA,7.1,2.4,4.8,4.8,2.4,NA,2.4,4.8,NA,NA
362500,404500,"Hindley U.D.","Hindley U.D.",NA,7.1,16.6,7.1,9.5,2.4,NA,2.4,2.4,NA,NA,NA,NA,NA,NA,4.7,9.5,28.4,14.2,NA,4.7,NA,4.7,7.1,NA,2.4,NA,NA,NA,NA,NA,2.4,NA,7.1,7.1,14.2,7.1,4.7,14.2,9.5,2.4,NA,7.1,7.1,4.7,2.4
530500,189500,"Hornsey M.B.","Hornsey M.B.",NA,2,2.6,2,0.7,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,4.6,7.9,19.1,32.3,22.4,11.2,14.5,11.8,3.3,5.3,1.3,0.7,NA,NA,2,NA,0.7,0.7,1.3,5.9,13.2,12.5,8.6,2.6,2.6,1.3,1.3,2,1.3,0.7,0.7,NA
528500,105500,"Hove M.B.","Hove M.B.",NA,NA,2.6,NA,1.3,1.3,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,5.1,15.3,23,20.5,14.1,12.8,10.2,5.1,7.7,3.8,NA,1.3,NA,2.6,NA,2.6,5.1,6.4,9,5.1,7.7,1.3,3.8,2.6,NA,NA,NA,NA,1.3,NA
414500,416500,"Huddersfield","Huddersfield",7.9,17.8,11.4,1.5,2.5,0.5,0.5,0.5,0.5,0.5,NA,NA,0.5,NA,0.5,0.5,2.5,5.4,5.9,7.4,4,7.4,8.4,6.4,3.5,3,2,1,1,2,2,3,12.9,12.4,14.9,14.9,10.4,3.5,3.5,0.5,1,1,1,1,NA,0.5
394500,394500,"Hyde M.B.","Hyde M.B.",NA,5,8.6,8.6,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,12,17.2,39.5,36,32.6,20.6,10.3,3.4,NA,1.7,NA,NA,1.7,NA,6.9,5.1,1.7,6.9,12,3.4,8.6,6.9,1.7,1.7,NA,3.4,NA
544500,186500,"Ilford U.D.","Ilford U.D.",NA,2.9,2.1,NA,2.1,0.7,NA,NA,NA,NA,NA,0.7,NA,0.7,2.1,1.4,8.6,23.6,42.9,33.6,17.9,12.9,16.5,3.6,1.4,3.6,0.7,NA,NA,0.7,NA,1.4,1.4,2.9,10,7.9,5,5,2.9,0.7,0.7,1.4,4.3,0.7,NA,1.4
446500,342500,"Ilkeston M.B.","Ilkeston M.B.",NA,3.6,5.4,5.4,3.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,16.1,30.4,48.2,32.1,32.1,19.6,21.4,8.9,8.9,NA,3.6,1.8,NA,1.8,NA,NA,3.6,7.1,1.8,8.9,7.1,1.8,1.8,3.6,1.8,1.8,NA,1.8,1.8
358500,404500,"Ince-in-Makerfield U.D.","Ince-in-Makerfield U.D.",NA,5.1,12.7,22.8,15.2,12.7,2.5,NA,NA,NA,NA,NA,NA,2.5,2.5,5.1,12.7,15.2,7.6,7.6,2.5,5.1,5.1,2.5,5.1,NA,NA,NA,NA,2.5,2.5,7.6,10.1,17.7,2.5,2.5,7.6,10.1,2.5,NA,5.1,NA,NA,NA,NA,NA
616500,244500,"Ipswich","Ipswich",NA,NA,NA,0.7,2.9,0.7,NA,0.7,NA,NA,NA,0.7,NA,0.7,NA,0.7,NA,4.3,10.8,27.3,30.8,24.4,18.7,12.2,2.2,2.2,1.4,0.7,NA,NA,NA,NA,2.2,3.6,12.9,13.6,5.7,5.7,2.2,2.9,0.7,NA,0.7,NA,0.7,NA
434500,565500,"Jarrow M.B.","Jarrow M.B.",1.5,6.1,3.1,1.5,NA,NA,1.5,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1.5,9.2,36.7,68.8,55,33.6,26,12.2,10.7,3.1,3.1,NA,3.1,3.1,NA,12.2,4.6,3.1,3.1,27.5,30.6,18.3,6.1,7.6,1.5,4.6,3.1,NA,NA,NA
406500,441500,"Keighley M.B.","Keighley M.B.",NA,2.7,4.1,1.4,4.1,1.4,1.4,NA,NA,NA,1.4,NA,NA,NA,NA,1.4,5.5,26.1,50.8,43.9,16.5,12.3,9.6,6.9,6.9,1.4,2.7,NA,NA,NA,1.4,NA,NA,1.4,11,4.1,4.1,8.2,2.7,4.1,1.4,1.4,1.4,NA,NA,2.7
487500,278500,"Kettering U.D.","Kettering U.D.",NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,NA,3.7,1.8,1.8,3.7,9.2,16.5,7.4,5.5,NA,3.7,NA,3.7,5.5,NA,NA,1.8,NA,5.5,44.1,33.1,9.2,3.7,1.8,NA,1.8,3.7,NA,NA,NA
382500,276500,"Kidderminster M.B.","Kidderminster M.B.",NA,NA,2.3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,22.8,52.5,84.5,63.9,38.8,22.8,6.8,6.8,NA,4.6,4.6,NA,NA,NA,6.8,2.3,4.6,4.6,16,20.5,9.1,4.6,2.3,4.6,NA,NA,NA,NA,NA
561500,320500,"King's Lynn M.B.","King's Lynn M.B.",NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,8.7,40.8,96.2,43.7,17.5,11.7,NA,NA,NA,5.8,5.8,NA,NA,NA,NA,NA,NA,2.9,5.8,5.8,5.8,NA,NA,NA,NA,NA,NA,NA,NA
518500,170500,"Kingston-on-Thames M.B.","Kingston-on-Thames M.B.",NA,2.9,1.4,NA,NA,NA,NA,NA,NA,NA,1.4,NA,1.4,NA,NA,1.4,7.2,21.5,30.1,25.8,10,12.9,11.5,8.6,5.7,1.4,1.4,2.9,NA,NA,1.4,1.4,4.3,4.3,5.7,18.6,17.2,4.3,2.9,2.9,NA,1.4,NA,1.4,1.4,NA
509500,429500,"Kingston-upon-Hull","Kingston-upon-Hull",1.5,3.7,6,5,0.6,1.1,0.4,NA,0.4,0.2,NA,NA,NA,NA,0.2,4.7,16.8,34.1,50.1,33,16.8,14.7,8.2,5.2,4.7,3.2,1.7,1.5,1.9,0.6,0.9,0.2,2.6,3,12.1,14.2,13.4,5.8,3.7,2.2,1.9,3.5,1.3,0.9,0.9,0.9
